s3	s2	s1	s4
1.0000000000	0.0000000000	0.0000000000	0.0000000000
1.0000000000	0.7200000000	0.0000000000	0.8100000000
1.7290000000	0.8496000000	0.5832000000	0.8829000000
1.7946100000	1.3978080000	0.7406640000	1.4799510000
2.3319559000	1.5437246400	1.1988842400	1.5868296900
2.4281467210	1.9568786832	1.3583165400	2.0316989511
2.8285290560	2.1005038021	1.7073202220	2.1496517496
2.9346865746	2.4146316047	1.8550668997	2.4845771928
3.2361194735	2.5476080226	2.1228076208	2.6007080728
3.3406372655	2.7885754650	2.2546151842	2.8553205001
3.5697884501	2.9072024149	2.4616614932	2.9628950301
3.6666055271	3.0935441188	2.5763834905	3.1581891973
3.8423702776	3.1967939209	2.7376452503	3.2541875047
3.9287687542	3.3419295056	2.8357911484	3.4051968002
4.0646771202	3.4302608141	2.9621841029	3.4887704029
4.1398933627	3.5440144731	3.0451078286	3.6063778036
4.2457400233	3.6186458263	3.1447114278	3.6778876261
4.3100988635	3.7082890655	3.2141271478	3.7700593052
4.3930533747	3.7707632135	3.2929855863	3.8304854169
4.4474368752	3.8417358082	3.3506869057	3.9031169210
4.5128052289	3.8936669956	3.4133678262	3.9537043918
4.5583339526	3.9500798240	3.4610733708	4.0112056307
4.6100850676	3.9930148142	3.5110612608	4.0532590084
4.6479331075	4.0380039152	3.5503375130	4.0989622155
4.6890659940	4.0733525422	3.5903135475	4.1337324165
4.7203591749	4.1093309732	3.6225437784	4.1701793726
4.7531614353	4.1383381811	3.6545870284	4.1988070752
4.7789263677	4.1671771060	3.6809667592	4.2279533994
4.8051580595	4.1909188638	3.7067004642	4.2514461637
4.8263015474	4.2140791983	3.7282473215	4.2748081829
4.8473273646	4.2334713698	3.7489464095	4.2940369898
4.8646332908	4.2521005491	3.7665169864	4.3127984944
4.8815186450	4.2679140682	3.7831879735	4.3285048301
4.8956543471	4.2829179567	3.7974973129	4.3435955371
4.9092359834	4.2957963621	3.8109383031	4.3564036195
4.9207632575	4.3078932532	3.8225795006	4.3685574723
4.9317017251	4.3183703310	3.8334256902	4.3789884111
4.9410895700	4.3281319016	3.8428882802	4.3887873543
4.9499086189	4.3366482327	3.8516467856	4.3972734136
4.9575460722	4.3445308875	3.8593332792	4.4051805885
4.9646625297	4.3514487317	3.8664100140	4.4120785715
4.9708707143	4.3578177931	3.8726503740	4.4184637205
4.9766173484	4.3634341171	3.8783709461	4.4240670134
4.9816603121	4.3685826319	3.8834350200	4.4292260834
4.9863034751	4.3731402985	3.8880610837	4.4337752003
4.9903976803	4.3773037558	3.8921691393	4.4379455828
4.9941510246	4.3810010058	3.8959112647	4.4416372235
4.9974735011	4.3843689187	3.8992428286	4.4450096800
5.0005087120	4.3873673262	3.9022706787	4.4480044071
5.0032039664	4.3900923914	3.9049718953	4.4507324534
5.0056592080	4.3925234863	3.9074223076	4.4531611336
5.0078450202	4.3947288573	3.9096120316	4.4553684605
5.0098316145	4.3966996089	3.9115954573	4.4573376278
5.0116038651	4.3984846920	3.9133702743	4.4591239942
5.0132115948	4.4000820274	3.9149759252	4.4607202902
5.0146482612	4.4015271132	3.9164142755	4.4621662179
5.0159495961	4.4028216284	3.9177142465	4.4634600511
5.0171140460	4.4039916023	3.9188798012	4.4646305775
5.0181675197	4.4050406016	3.9199323800	4.4656791293
5.0191112163	4.4059879225	3.9208768015	4.4666268126
5.0199641313	4.4068379018	3.9217291293	4.4674764984
5.0207288485	4.4076049969	3.9224943221	4.4682438312
5.0214194481	4.4082936704	3.9231845365	4.4689323121
5.0220390809	4.4089148633	3.9238044813	4.4695536611
5.0225982950	4.4094728136	3.9243634426	4.4701114850
5.0231003365	4.4099758788	3.9248656889	4.4706146526
5.0235531873	4.4104279005	3.9253183738	4.4710665913
5.0239599322	4.4108353170	3.9257252530	4.4714740749
5.0243266674	4.4112015082	3.9260918795	4.4718402118
5.0246561906	4.4115314720	3.9264214908	4.4721702197
5.0249531977	4.4118281222	3.9267184265	4.4724668342
5.0252201508	4.4120953644	3.9269854374	4.4727341052
5.0254606947	4.4123356741	3.9272259345	4.4729743916
5.0256769524	4.4125521215	3.9274422302	4.4731908580
5.0258717722	4.4127467876	3.9276370192	4.4733855087
5.0260469578	4.4129220977	3.9278122297	4.4735608312
5.0262047481	4.4130797872	3.9279699998	4.4737185106
5.0263466596	4.4132217803	3.9281119276	4.4738605119
5.0264744607	4.4133495154	3.9282397156	4.4739882403
5.0265894163	4.4134645245	3.9283546818	4.4741032548
5.0266929293	4.4135679941	3.9284581862	4.4742067201
5.0267860481	4.4136611481	3.9285513120	4.4742998776
5.0268698898	4.4137449613	3.9286351480	4.4743836880
5.0269453192	4.4138204137	3.9287105820	4.4744591427
5.0270132284	4.4138883043	3.9287784875	4.4745270314
5.0270743282	4.4139494192	3.9288395903	4.4745881478
5.0271293330	4.4140044118	3.9288945927	4.4746431392
5.0271788253	4.4140539139	3.9289440869	4.4746926423
5.0272233781	4.4140984587	3.9289886381	4.4747371863
5.0272634676	4.4141385548	3.9290287290	4.4747772830
5.0272995547	4.4141746366	3.9290648150	4.4748133643
5.0273320278	4.4142071140	3.9290972890	4.4748458421
5.0273612579	4.4142363405	3.9291265183	4.4748750683
5.0273875615	4.4142626470	3.9291528225	4.4749013750
5.0274112375	4.4142863207	3.9291764981	4.4749250486
5.0274325437	4.4143076288	3.9291978046	4.4749463568
5.0274517211	4.4143268046	3.9292169817	4.4749655325
5.0274689793	4.4143440640	3.9292342401	4.4749827920
5.0274845128	4.4143595966	3.9292497735	4.4749983245
5.0274984920	4.4143735766	3.9292637529	4.4750123046
5.0275110741	4.4143861581	3.9292763348	4.4750248860
5.0275223974	4.4143974818	3.9292876582	4.4750362098
5.0275325888	4.4144076728	3.9292978495	4.4750464007
